created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweet_count,favorite_count,entities,favorited,retweeted,lang
Tue Sep 30 23:59:24 +0000 2014,517101437713932289,517101437713932289,I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,21,,false,false,en
Tue Sep 30 23:59:34 +0000 2014,517101480340250624,517101480340250624,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Tue Sep 30 23:59:37 +0000 2014,517101490402783233,517101490402783233,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Tue Sep 30 23:59:53 +0000 2014,517101559571054592,517101559571054592,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Tue Sep 30 23:59:56 +0000 2014,517101571528994816,517101571528994816,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:00:20 +0000 2014,517101673018564608,517101673018564608,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:00:25 +0000 2014,517101692005785600,517101692005785600,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:00:38 +0000 2014,517101745580044288,517101745580044288,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:00:52 +0000 2014,517101806779117570,517101806779117570,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:01:25 +0000 2014,517101945237286912,517101945237286912,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:01:46 +0000 2014,517102030809485312,517102030809485312,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:02:48 +0000 2014,517102290432700417,517102290432700417,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:03:38 +0000 2014,517102500323663873,517102500323663873,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:03:52 +0000 2014,517102561615036416,517102561615036416,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:05:40 +0000 2014,517103012054319104,517103012054319104,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:06:05 +0000 2014,517103118442844162,517103118442844162,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:06:18 +0000 2014,517103171575885824,517103171575885824,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:06:22 +0000 2014,517103189624369152,517103189624369152,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:06:29 +0000 2014,517103220481875968,517103220481875968,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:08:14 +0000 2014,517103661064146944,517103661064146944,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:08:38 +0000 2014,517103759743541248,517103759743541248,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:08:54 +0000 2014,517103825929248768,517103825929248768,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:09:02 +0000 2014,517103859672809472,517103859672809472,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:09:20 +0000 2014,517103938106302465,517103938106302465,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:09:21 +0000 2014,517103939767259137,517103939767259137,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:10:07 +0000 2014,517104133338562561,517104133338562561,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:12:10 +0000 2014,517104647626977280,517104647626977280,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:15:10 +0000 2014,517105405940752385,517105405940752385,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
Wed Oct 01 00:15:34 +0000 2014,517105504766930944,517105504766930944,RT @mallorymac97: I wanna go to hallow-weekends 💀🎃👻🎢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",68,0,,false,false,en
