created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,retweet_count,favorite_count,entities,favorited,retweeted,lang
Mon Oct 06 14:00:15 +0000 2014,519124982459531264,519124982459531264,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Sat Oct 04 23:20:50 +0000 2014,518541283544272896,518541283544272896,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Sat Oct 04 23:18:19 +0000 2014,518540650334420992,518540650334420992,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Thu Oct 02 01:06:00 +0000 2014,517480586265776128,517480586265776128,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 23:23:47 +0000 2014,517454861127135232,517454861127135232,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 22:48:48 +0000 2014,517446056163172352,517446056163172352,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 20:20:26 +0000 2014,517408719106506754,517408719106506754,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 20:15:18 +0000 2014,517407429488025600,517407429488025600,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 19:22:09 +0000 2014,517394051382145024,517394051382145024,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 15:56:59 +0000 2014,517342421948956673,517342421948956673,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 13:21:51 +0000 2014,517303380994433024,517303380994433024,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 13:19:20 +0000 2014,517302747360944128,517302747360944128,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 11:40:43 +0000 2014,517277927063306240,517277927063306240,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 11:19:32 +0000 2014,517272596166221824,517272596166221824,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 11:13:58 +0000 2014,517271196266921984,517271196266921984,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 11:10:16 +0000 2014,517270264766529536,517270264766529536,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 11:01:42 +0000 2014,517268108135104512,517268108135104512,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 09:39:47 +0000 2014,517247495630774272,517247495630774272,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 09:18:11 +0000 2014,517242059384958976,517242059384958976,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 07:35:04 +0000 2014,517216107590320130,517216107590320130,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 06:20:54 +0000 2014,517197442316795905,517197442316795905,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 05:45:19 +0000 2014,517188489478438912,517188489478438912,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 04:47:06 +0000 2014,517173838279618561,517173838279618561,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 03:13:18 +0000 2014,517150232329850880,517150232329850880,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 02:35:37 +0000 2014,517140747985117184,517140747985117184,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 02:25:09 +0000 2014,517138114998185984,517138114998185984,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 01:49:39 +0000 2014,517129181160013824,517129181160013824,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 01:45:35 +0000 2014,517128156810321921,517128156810321921,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 01:19:54 +0000 2014,517121696093175808,517121696093175808,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 01:15:55 +0000 2014,517120694816350208,517120694816350208,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 01:11:37 +0000 2014,517119609040670720,517119609040670720,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 00:56:45 +0000 2014,517115867432509440,517115867432509440,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 00:54:06 +0000 2014,517115202916347905,517115202916347905,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
Wed Oct 01 00:54:05 +0000 2014,517115196826222592,517115196826222592,"RT @akh_fuaadh: What did the Indian kid say to his mum before he left?

Mumbai

loooooool","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,69,0,,false,false,en
