created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,retweet_count,favorite_count,entities,extended_entities,favorited,retweeted,possibly_sensitive,lang
Wed Oct 01 15:26:34 +0000 2014,517334765402222592,517334765402222592,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 07:29:43 +0000 2014,517214762938417152,517214762938417152,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 05:47:39 +0000 2014,517189075368169472,517189075368169472,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 04:32:21 +0000 2014,517170124978421762,517170124978421762,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 03:30:45 +0000 2014,517154625997115393,517154625997115393,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 02:46:44 +0000 2014,517143547263582208,517143547263582208,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 02:27:57 +0000 2014,517138821448990720,517138821448990720,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 02:01:05 +0000 2014,517132057697595393,517132057697595393,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 01:46:52 +0000 2014,517128481139081217,517128481139081217,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 01:35:09 +0000 2014,517125534720221184,517125534720221184,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
