created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,retweet_count,favorite_count,entities,extended_entities,favorited,retweeted,possibly_sensitive,lang
Thu Oct 02 01:52:36 +0000 2014,517492312251707392,517492312251707392,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 06:28:31 +0000 2014,517199361303146497,517199361303146497,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 06:22:14 +0000 2014,517197779723370497,517197779723370497,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 06:19:21 +0000 2014,517197053156663296,517197053156663296,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 04:26:14 +0000 2014,517168586293805056,517168586293805056,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 03:15:58 +0000 2014,517150904089575424,517150904089575424,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 02:10:35 +0000 2014,517134448345636864,517134448345636864,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 02:03:15 +0000 2014,517132606794919937,517132606794919937,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 01:54:38 +0000 2014,517130434799751168,517130434799751168,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 01:54:21 +0000 2014,517130363014238208,517130363014238208,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
