time,count,min_since_create
2014-09-30 19:59:24 -0400,,0
2014-09-30 20:00:24 -0400,8,2
2014-09-30 20:02:24 -0400,3,62
2014-09-30 20:04:24 -0400,2,122
2014-09-30 20:06:24 -0400,5,182
2014-09-30 20:08:24 -0400,6,242
2014-09-30 20:10:24 -0400,1,302
2014-09-30 20:12:24 -0400,1,362
2014-09-30 20:14:24 -0400,1,422
2014-09-30 20:16:24 -0400,5,482
2014-09-30 20:18:24 -0400,1,542
2014-09-30 20:20:24 -0400,1,602
2014-09-30 20:22:24 -0400,0,662
2014-09-30 20:24:24 -0400,1,722
2014-09-30 20:26:24 -0400,2,782
2014-09-30 20:28:24 -0400,1,842
2014-09-30 20:30:24 -0400,1,902
2014-09-30 20:32:24 -0400,0,962
2014-09-30 20:34:24 -0400,1,1022
2014-09-30 20:36:24 -0400,0,1082
2014-09-30 20:38:24 -0400,0,1142
2014-09-30 20:40:24 -0400,1,1202
2014-09-30 20:42:24 -0400,0,1262
2014-09-30 20:44:24 -0400,0,1322
2014-09-30 20:46:24 -0400,2,1382
2014-09-30 20:48:24 -0400,1,1442
2014-09-30 20:50:24 -0400,0,1502
2014-09-30 20:52:24 -0400,1,1562
2014-09-30 20:54:24 -0400,1,1622
2014-09-30 20:56:24 -0400,1,1682
2014-09-30 20:58:24 -0400,2,1742
2014-09-30 21:00:24 -0400,1,1802
2014-09-30 21:02:24 -0400,2,1862
2014-09-30 21:04:24 -0400,0,1922
2014-09-30 21:06:24 -0400,0,1982
2014-09-30 21:08:24 -0400,0,2042
2014-09-30 21:10:24 -0400,0,2102
2014-09-30 21:12:24 -0400,0,2162
2014-09-30 21:14:24 -0400,0,2222
2014-09-30 21:16:24 -0400,0,2282
2014-09-30 21:18:24 -0400,0,2342
2014-09-30 21:20:24 -0400,0,2402
2014-09-30 21:22:24 -0400,0,2462
2014-09-30 21:24:24 -0400,0,2522
2014-09-30 21:26:24 -0400,0,2582
2014-09-30 21:28:24 -0400,2,2642
2014-09-30 21:30:24 -0400,0,2702
2014-09-30 21:32:24 -0400,0,2762
2014-09-30 21:34:24 -0400,0,2822
2014-09-30 21:36:24 -0400,0,2882
2014-09-30 21:38:24 -0400,0,2942
2014-09-30 21:40:24 -0400,1,3002
2014-09-30 21:42:24 -0400,0,3062
2014-09-30 21:44:24 -0400,1,3122
2014-09-30 21:46:24 -0400,0,3182
2014-09-30 21:48:24 -0400,0,3242
2014-09-30 21:50:24 -0400,0,3302
2014-09-30 21:52:24 -0400,0,3362
2014-09-30 21:54:24 -0400,1,3422
2014-09-30 21:56:24 -0400,0,3482
2014-09-30 21:58:24 -0400,0,3542
2014-09-30 22:00:24 -0400,2,3602
